chain_name;hotel_name;description;email;country;city;street;number;room_type;capacity;price;room_number;checkin;checkout;status;rating;comment;review_date
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info23@hotel.com;Ukraine;Odesa;Shevchenka;74;Suite;2;191;218;2024-06-30;2024-07-03;pending;5;Good hotel;2024-06-30
Accor;Accor Grand Hotel;Grand Hotel description;info24@hotel.com;Ukraine;Odesa;Shevchenka;26;Double;3;153;353;2024-02-28;2024-03-03;checked-out;4;Good hotel;2024-02-28
Hilton;Hilton City Inn;City Inn description;info25@hotel.com;Ukraine;Kyiv;Shevchenka;83;Single;1;288;269;2024-02-20;2024-02-22;checked-in;2;Good hotel;2024-02-20
Radisson;Radisson Grand Hotel;Grand Hotel description;info26@hotel.com;Ukraine;Odesa;Shevchenka;32;Single;3;82;156;2024-10-08;2024-10-15;checked-in;1;Good hotel;2024-10-08
Hilton;Hilton Sea View;Sea View description;info27@hotel.com;Ukraine;Odesa;Shevchenka;73;Suite;4;215;76;2024-07-26;2024-08-01;checked-in;1;Good hotel;2024-07-26
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info28@hotel.com;Ukraine;Kyiv;Shevchenka;83;Double;2;84;22;2024-06-25;2024-06-28;confirmed;5;Good hotel;2024-06-25
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info29@hotel.com;Ukraine;Odesa;Shevchenka;63;Double;4;206;493;2024-02-12;2024-02-13;confirmed;4;Good hotel;2024-02-12
Hilton;Hilton Mountain Resort;Mountain Resort description;info30@hotel.com;Ukraine;Dnipro;Shevchenka;72;Suite;3;272;428;2024-01-21;2024-01-23;confirmed;5;Good hotel;2024-01-21
Accor;Accor Grand Hotel;Grand Hotel description;info31@hotel.com;Ukraine;Dnipro;Shevchenka;8;Suite;4;230;450;2024-01-31;2024-02-01;confirmed;1;Good hotel;2024-01-31
Marriott;Marriott Mountain Resort;Mountain Resort description;info32@hotel.com;Ukraine;Odesa;Shevchenka;44;Single;2;93;60;2024-07-02;2024-07-03;checked-in;5;Good hotel;2024-07-02
Hyatt;Hyatt City Inn;City Inn description;info33@hotel.com;Ukraine;Kyiv;Shevchenka;38;Double;2;245;103;2024-11-17;2024-11-21;checked-out;2;Good hotel;2024-11-17
Accor;Accor Mountain Resort;Mountain Resort description;info34@hotel.com;Ukraine;Dnipro;Shevchenka;97;Single;2;233;435;2024-09-27;2024-09-30;checked-out;3;Good hotel;2024-09-27
Marriott;Marriott Mountain Resort;Mountain Resort description;info35@hotel.com;Ukraine;Odesa;Shevchenka;49;Suite;2;193;482;2024-02-06;2024-02-07;pending;2;Good hotel;2024-02-06
Accor;Accor Grand Hotel;Grand Hotel description;info36@hotel.com;Ukraine;Lviv;Shevchenka;98;Single;3;153;124;2024-06-02;2024-06-09;pending;4;Good hotel;2024-06-02
Marriott;Marriott Sea View;Sea View description;info37@hotel.com;Ukraine;Dnipro;Shevchenka;41;Single;3;189;383;2024-02-19;2024-02-20;pending;4;Good hotel;2024-02-19
Marriott;Marriott Sea View;Sea View description;info38@hotel.com;Ukraine;Lviv;Shevchenka;48;Double;1;249;10;2024-10-28;2024-11-01;checked-out;4;Good hotel;2024-10-28
Radisson;Radisson Sea View;Sea View description;info39@hotel.com;Ukraine;Odesa;Shevchenka;70;Suite;1;289;410;2024-02-05;2024-02-11;pending;1;Good hotel;2024-02-05
Hilton;Hilton Grand Hotel;Grand Hotel description;info40@hotel.com;Ukraine;Odesa;Shevchenka;42;Double;3;75;372;2024-01-31;2024-02-05;checked-out;5;Good hotel;2024-01-31
Accor;Accor City Inn;City Inn description;info41@hotel.com;Ukraine;Odesa;Shevchenka;96;Single;3;111;163;2024-03-31;2024-04-02;checked-in;2;Good hotel;2024-03-31
Marriott;Marriott Sea View;Sea View description;info42@hotel.com;Ukraine;Odesa;Shevchenka;34;Single;4;89;19;2024-03-18;2024-03-24;checked-out;1;Good hotel;2024-03-18
Radisson;Radisson Grand Hotel;Grand Hotel description;info43@hotel.com;Ukraine;Odesa;Shevchenka;12;Suite;4;199;496;2024-05-05;2024-05-06;confirmed;3;Good hotel;2024-05-05
Radisson;Radisson Mountain Resort;Mountain Resort description;info44@hotel.com;Ukraine;Lviv;Shevchenka;6;Suite;2;218;442;2024-03-22;2024-03-23;checked-in;1;Good hotel;2024-03-22
Marriott;Marriott City Inn;City Inn description;info45@hotel.com;Ukraine;Lviv;Shevchenka;66;Suite;2;213;181;2024-02-10;2024-02-11;checked-in;5;Good hotel;2024-02-10
Hyatt;Hyatt Sea View;Sea View description;info46@hotel.com;Ukraine;Odesa;Shevchenka;52;Double;1;191;8;2024-06-16;2024-06-17;checked-in;5;Good hotel;2024-06-16
Hyatt;Hyatt City Inn;City Inn description;info47@hotel.com;Ukraine;Kyiv;Shevchenka;6;Double;4;108;125;2024-05-31;2024-06-05;pending;2;Good hotel;2024-05-31
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info48@hotel.com;Ukraine;Odesa;Shevchenka;43;Single;1;198;227;2024-09-22;2024-09-26;pending;5;Good hotel;2024-09-22
Marriott;Marriott Mountain Resort;Mountain Resort description;info49@hotel.com;Ukraine;Dnipro;Shevchenka;55;Suite;1;180;435;2024-01-14;2024-01-19;confirmed;3;Good hotel;2024-01-14
Hilton;Hilton Mountain Resort;Mountain Resort description;info50@hotel.com;Ukraine;Odesa;Shevchenka;87;Single;3;105;445;2024-08-08;2024-08-14;confirmed;3;Good hotel;2024-08-08
Accor;Accor City Inn;City Inn description;info51@hotel.com;Ukraine;Dnipro;Shevchenka;94;Double;1;127;464;2024-10-30;2024-10-31;pending;4;Good hotel;2024-10-30
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info52@hotel.com;Ukraine;Dnipro;Shevchenka;49;Double;1;147;81;2024-02-24;2024-03-01;checked-in;4;Good hotel;2024-02-24
Marriott;Marriott Mountain Resort;Mountain Resort description;info53@hotel.com;Ukraine;Odesa;Shevchenka;89;Double;2;77;481;2024-04-30;2024-05-02;checked-in;3;Good hotel;2024-04-30
Radisson;Radisson City Inn;City Inn description;info54@hotel.com;Ukraine;Lviv;Shevchenka;12;Single;1;205;143;2024-07-17;2024-07-23;pending;1;Good hotel;2024-07-17
Accor;Accor City Inn;City Inn description;info55@hotel.com;Ukraine;Odesa;Shevchenka;4;Suite;4;68;91;2024-09-11;2024-09-13;checked-in;2;Good hotel;2024-09-11
Marriott;Marriott Grand Hotel;Grand Hotel description;info56@hotel.com;Ukraine;Kyiv;Shevchenka;81;Single;4;71;189;2024-11-25;2024-12-01;confirmed;4;Good hotel;2024-11-25
Hilton;Hilton Grand Hotel;Grand Hotel description;info57@hotel.com;Ukraine;Odesa;Shevchenka;61;Double;3;152;111;2024-07-21;2024-07-23;confirmed;3;Good hotel;2024-07-21
Hyatt;Hyatt Sea View;Sea View description;info58@hotel.com;Ukraine;Odesa;Shevchenka;58;Single;2;266;66;2024-01-13;2024-01-19;pending;2;Good hotel;2024-01-13
Marriott;Marriott Grand Hotel;Grand Hotel description;info59@hotel.com;Ukraine;Kyiv;Shevchenka;53;Suite;4;214;38;2024-03-10;2024-03-15;checked-in;5;Good hotel;2024-03-10
Accor;Accor Grand Hotel;Grand Hotel description;info60@hotel.com;Ukraine;Kyiv;Shevchenka;64;Double;1;293;18;2024-06-07;2024-06-10;checked-in;2;Good hotel;2024-06-07
Hilton;Hilton Sea View;Sea View description;info61@hotel.com;Ukraine;Odesa;Shevchenka;55;Suite;4;273;373;2024-03-07;2024-03-10;checked-out;1;Good hotel;2024-03-07
Marriott;Marriott Mountain Resort;Mountain Resort description;info62@hotel.com;Ukraine;Odesa;Shevchenka;29;Double;4;243;97;2024-05-29;2024-06-01;pending;3;Good hotel;2024-05-29
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info63@hotel.com;Ukraine;Kyiv;Shevchenka;84;Suite;1;270;313;2024-05-13;2024-05-14;pending;5;Good hotel;2024-05-13
Accor;Accor City Inn;City Inn description;info64@hotel.com;Ukraine;Lviv;Shevchenka;6;Single;2;186;34;2024-03-27;2024-03-30;checked-out;4;Good hotel;2024-03-27
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info65@hotel.com;Ukraine;Kyiv;Shevchenka;56;Suite;1;64;344;2024-04-01;2024-04-07;pending;4;Good hotel;2024-04-01
Radisson;Radisson Grand Hotel;Grand Hotel description;info66@hotel.com;Ukraine;Kyiv;Shevchenka;81;Single;2;164;176;2024-08-31;2024-09-06;confirmed;1;Good hotel;2024-08-31
Radisson;Radisson City Inn;City Inn description;info67@hotel.com;Ukraine;Odesa;Shevchenka;78;Suite;2;124;473;2024-03-09;2024-03-11;confirmed;2;Good hotel;2024-03-09
Marriott;Marriott City Inn;City Inn description;info68@hotel.com;Ukraine;Kyiv;Shevchenka;3;Double;1;252;250;2024-01-11;2024-01-13;checked-in;5;Good hotel;2024-01-11
Accor;Accor Grand Hotel;Grand Hotel description;info69@hotel.com;Ukraine;Kyiv;Shevchenka;44;Single;1;111;392;2024-10-29;2024-10-30;checked-out;5;Good hotel;2024-10-29
Accor;Accor Grand Hotel;Grand Hotel description;info70@hotel.com;Ukraine;Dnipro;Shevchenka;63;Double;4;77;59;2024-08-19;2024-08-21;checked-out;1;Good hotel;2024-08-19
Radisson;Radisson City Inn;City Inn description;info71@hotel.com;Ukraine;Lviv;Shevchenka;46;Suite;4;135;302;2024-02-16;2024-02-18;confirmed;5;Good hotel;2024-02-16
Hilton;Hilton Mountain Resort;Mountain Resort description;info72@hotel.com;Ukraine;Lviv;Shevchenka;1;Single;1;104;498;2024-12-18;2024-12-19;checked-in;3;Good hotel;2024-12-18
Accor;Accor City Inn;City Inn description;info73@hotel.com;Ukraine;Dnipro;Shevchenka;87;Suite;1;271;81;2024-05-07;2024-05-12;checked-in;3;Good hotel;2024-05-07
Hyatt;Hyatt City Inn;City Inn description;info74@hotel.com;Ukraine;Kyiv;Shevchenka;63;Double;1;253;79;2024-08-29;2024-08-30;checked-out;5;Good hotel;2024-08-29
Accor;Accor Sea View;Sea View description;info75@hotel.com;Ukraine;Dnipro;Shevchenka;6;Single;3;169;390;2024-08-28;2024-09-04;checked-out;2;Good hotel;2024-08-28
Radisson;Radisson Grand Hotel;Grand Hotel description;info76@hotel.com;Ukraine;Dnipro;Shevchenka;36;Suite;3;57;421;2024-12-04;2024-12-07;checked-out;5;Good hotel;2024-12-04
Hilton;Hilton Grand Hotel;Grand Hotel description;info77@hotel.com;Ukraine;Lviv;Shevchenka;5;Double;3;141;168;2024-10-01;2024-10-04;pending;2;Good hotel;2024-10-01
Hyatt;Hyatt City Inn;City Inn description;info78@hotel.com;Ukraine;Kyiv;Shevchenka;59;Single;3;103;59;2024-02-21;2024-02-23;checked-out;5;Good hotel;2024-02-21
Marriott;Marriott City Inn;City Inn description;info79@hotel.com;Ukraine;Kyiv;Shevchenka;2;Single;3;262;346;2024-03-05;2024-03-11;confirmed;5;Good hotel;2024-03-05
Hilton;Hilton Grand Hotel;Grand Hotel description;info80@hotel.com;Ukraine;Dnipro;Shevchenka;84;Suite;2;234;308;2024-12-01;2024-12-04;checked-in;1;Good hotel;2024-12-01
Accor;Accor Sea View;Sea View description;info81@hotel.com;Ukraine;Dnipro;Shevchenka;63;Suite;2;135;6;2024-07-12;2024-07-13;confirmed;5;Good hotel;2024-07-12
Hyatt;Hyatt City Inn;City Inn description;info82@hotel.com;Ukraine;Dnipro;Shevchenka;76;Single;2;144;60;2024-04-15;2024-04-21;confirmed;4;Good hotel;2024-04-15
Hilton;Hilton Sea View;Sea View description;info83@hotel.com;Ukraine;Lviv;Shevchenka;96;Suite;2;169;116;2024-08-29;2024-09-04;checked-out;3;Good hotel;2024-08-29
Radisson;Radisson City Inn;City Inn description;info84@hotel.com;Ukraine;Dnipro;Shevchenka;48;Double;4;293;22;2024-04-06;2024-04-08;pending;4;Good hotel;2024-04-06
Radisson;Radisson Sea View;Sea View description;info85@hotel.com;Ukraine;Kyiv;Shevchenka;79;Single;3;209;14;2024-10-21;2024-10-27;confirmed;2;Good hotel;2024-10-21
Hyatt;Hyatt City Inn;City Inn description;info86@hotel.com;Ukraine;Kyiv;Shevchenka;77;Double;2;199;324;2024-08-03;2024-08-05;confirmed;5;Good hotel;2024-08-03
Radisson;Radisson Grand Hotel;Grand Hotel description;info87@hotel.com;Ukraine;Kyiv;Shevchenka;52;Double;4;211;173;2024-04-09;2024-04-11;checked-in;4;Good hotel;2024-04-09
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info88@hotel.com;Ukraine;Lviv;Shevchenka;39;Single;3;83;419;2024-07-12;2024-07-15;confirmed;3;Good hotel;2024-07-12
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info89@hotel.com;Ukraine;Kyiv;Shevchenka;59;Double;2;75;235;2024-11-10;2024-11-14;checked-out;1;Good hotel;2024-11-10
Hilton;Hilton City Inn;City Inn description;info90@hotel.com;Ukraine;Kyiv;Shevchenka;21;Single;3;97;416;2024-08-19;2024-08-25;checked-in;3;Good hotel;2024-08-19
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info91@hotel.com;Ukraine;Odesa;Shevchenka;3;Suite;3;178;216;2024-07-17;2024-07-24;checked-out;3;Good hotel;2024-07-17
Marriott;Marriott City Inn;City Inn description;info92@hotel.com;Ukraine;Dnipro;Shevchenka;30;Suite;3;102;364;2024-11-09;2024-11-10;checked-out;4;Good hotel;2024-11-09
Marriott;Marriott Sea View;Sea View description;info93@hotel.com;Ukraine;Kyiv;Shevchenka;68;Double;4;258;85;2024-10-01;2024-10-07;pending;1;Good hotel;2024-10-01
Hilton;Hilton Mountain Resort;Mountain Resort description;info94@hotel.com;Ukraine;Kyiv;Shevchenka;84;Suite;2;259;209;2024-10-07;2024-10-13;checked-out;3;Good hotel;2024-10-07
Radisson;Radisson Grand Hotel;Grand Hotel description;info95@hotel.com;Ukraine;Dnipro;Shevchenka;89;Suite;3;277;409;2024-09-18;2024-09-24;pending;3;Good hotel;2024-09-18
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info96@hotel.com;Ukraine;Kyiv;Shevchenka;79;Double;3;174;211;2024-01-27;2024-02-03;confirmed;5;Good hotel;2024-01-27
Accor;Accor Mountain Resort;Mountain Resort description;info97@hotel.com;Ukraine;Lviv;Shevchenka;6;Double;2;224;362;2024-12-29;2025-01-03;checked-out;4;Good hotel;2024-12-29
Hilton;Hilton Grand Hotel;Grand Hotel description;info98@hotel.com;Ukraine;Odesa;Shevchenka;12;Double;4;82;250;2024-03-12;2024-03-16;checked-in;3;Good hotel;2024-03-12
Hilton;Hilton Grand Hotel;Grand Hotel description;info99@hotel.com;Ukraine;Odesa;Shevchenka;56;Double;3;201;427;2024-03-07;2024-03-08;checked-out;2;Good hotel;2024-03-07
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info100@hotel.com;Ukraine;Dnipro;Shevchenka;50;Suite;2;193;12;2024-03-23;2024-03-24;confirmed;4;Good hotel;2024-03-23
Hilton;Hilton Sea View;Sea View description;info101@hotel.com;Ukraine;Dnipro;Shevchenka;2;Double;2;286;490;2024-09-21;2024-09-22;checked-in;2;Good hotel;2024-09-21
Radisson;Radisson City Inn;City Inn description;info102@hotel.com;Ukraine;Odesa;Shevchenka;46;Single;1;260;293;2024-07-21;2024-07-27;checked-in;4;Good hotel;2024-07-21
Hilton;Hilton Mountain Resort;Mountain Resort description;info103@hotel.com;Ukraine;Odesa;Shevchenka;50;Double;1;240;282;2024-05-12;2024-05-15;pending;1;Good hotel;2024-05-12
Hilton;Hilton Sea View;Sea View description;info104@hotel.com;Ukraine;Dnipro;Shevchenka;91;Single;1;80;277;2024-09-28;2024-10-05;pending;5;Good hotel;2024-09-28
Radisson;Radisson Mountain Resort;Mountain Resort description;info105@hotel.com;Ukraine;Kyiv;Shevchenka;2;Single;3;130;90;2024-05-06;2024-05-10;checked-in;2;Good hotel;2024-05-06
Hyatt;Hyatt Sea View;Sea View description;info106@hotel.com;Ukraine;Odesa;Shevchenka;36;Suite;2;244;267;2024-03-06;2024-03-08;checked-in;3;Good hotel;2024-03-06
Hilton;Hilton City Inn;City Inn description;info107@hotel.com;Ukraine;Lviv;Shevchenka;35;Single;2;245;395;2024-11-27;2024-11-28;checked-in;1;Good hotel;2024-11-27
Hilton;Hilton City Inn;City Inn description;info108@hotel.com;Ukraine;Kyiv;Shevchenka;21;Double;4;72;83;2024-11-04;2024-11-11;checked-out;4;Good hotel;2024-11-04
Radisson;Radisson Sea View;Sea View description;info109@hotel.com;Ukraine;Odesa;Shevchenka;70;Single;4;231;253;2024-04-04;2024-04-10;pending;4;Good hotel;2024-04-04
Accor;Accor Mountain Resort;Mountain Resort description;info110@hotel.com;Ukraine;Dnipro;Shevchenka;69;Suite;4;288;104;2024-02-06;2024-02-08;checked-out;2;Good hotel;2024-02-06
Radisson;Radisson Mountain Resort;Mountain Resort description;info111@hotel.com;Ukraine;Dnipro;Shevchenka;62;Suite;4;79;295;2024-06-06;2024-06-08;confirmed;2;Good hotel;2024-06-06
Marriott;Marriott Mountain Resort;Mountain Resort description;info112@hotel.com;Ukraine;Lviv;Shevchenka;55;Single;4;120;171;2024-09-26;2024-10-01;checked-out;3;Good hotel;2024-09-26
Accor;Accor Sea View;Sea View description;info113@hotel.com;Ukraine;Lviv;Shevchenka;43;Single;3;91;440;2024-10-20;2024-10-23;checked-out;1;Good hotel;2024-10-20
Radisson;Radisson Mountain Resort;Mountain Resort description;info114@hotel.com;Ukraine;Odesa;Shevchenka;81;Suite;4;81;405;2024-05-21;2024-05-24;checked-in;3;Good hotel;2024-05-21
Marriott;Marriott Grand Hotel;Grand Hotel description;info115@hotel.com;Ukraine;Kyiv;Shevchenka;12;Suite;2;216;102;2024-04-16;2024-04-23;confirmed;1;Good hotel;2024-04-16
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info116@hotel.com;Ukraine;Kyiv;Shevchenka;19;Suite;4;280;57;2024-06-09;2024-06-15;confirmed;2;Good hotel;2024-06-09
Hilton;Hilton City Inn;City Inn description;info117@hotel.com;Ukraine;Lviv;Shevchenka;91;Suite;1;59;281;2024-07-18;2024-07-21;checked-in;4;Good hotel;2024-07-18
Hilton;Hilton Sea View;Sea View description;info118@hotel.com;Ukraine;Lviv;Shevchenka;79;Double;2;262;498;2024-01-25;2024-01-31;confirmed;1;Good hotel;2024-01-25
Radisson;Radisson Mountain Resort;Mountain Resort description;info119@hotel.com;Ukraine;Lviv;Shevchenka;64;Single;2;219;170;2024-07-23;2024-07-30;pending;5;Good hotel;2024-07-23
Hyatt;Hyatt Sea View;Sea View description;info120@hotel.com;Ukraine;Odesa;Shevchenka;41;Double;4;84;254;2024-04-11;2024-04-13;confirmed;4;Good hotel;2024-04-11
Marriott;Marriott Sea View;Sea View description;info121@hotel.com;Ukraine;Kyiv;Shevchenka;67;Suite;2;278;457;2024-03-05;2024-03-06;confirmed;4;Good hotel;2024-03-05
Hilton;Hilton City Inn;City Inn description;info122@hotel.com;Ukraine;Kyiv;Shevchenka;38;Suite;4;222;193;2024-02-18;2024-02-25;checked-out;4;Good hotel;2024-02-18
Hilton;Hilton Mountain Resort;Mountain Resort description;info123@hotel.com;Ukraine;Odesa;Shevchenka;7;Suite;3;268;51;2024-10-28;2024-11-04;pending;4;Good hotel;2024-10-28
Hilton;Hilton City Inn;City Inn description;info124@hotel.com;Ukraine;Kyiv;Shevchenka;21;Double;4;297;296;2024-09-08;2024-09-11;pending;2;Good hotel;2024-09-08
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info125@hotel.com;Ukraine;Odesa;Shevchenka;84;Single;4;50;211;2024-01-14;2024-01-19;confirmed;4;Good hotel;2024-01-14
Hilton;Hilton Grand Hotel;Grand Hotel description;info126@hotel.com;Ukraine;Odesa;Shevchenka;31;Single;2;159;348;2024-08-20;2024-08-27;pending;4;Good hotel;2024-08-20
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info127@hotel.com;Ukraine;Odesa;Shevchenka;97;Double;3;50;325;2024-04-26;2024-05-03;checked-out;3;Good hotel;2024-04-26
Hilton;Hilton City Inn;City Inn description;info128@hotel.com;Ukraine;Lviv;Shevchenka;90;Single;3;66;333;2024-09-30;2024-10-07;checked-out;5;Good hotel;2024-09-30
Accor;Accor Grand Hotel;Grand Hotel description;info129@hotel.com;Ukraine;Kyiv;Shevchenka;90;Suite;3;212;422;2024-10-12;2024-10-16;confirmed;4;Good hotel;2024-10-12
Accor;Accor Grand Hotel;Grand Hotel description;info130@hotel.com;Ukraine;Dnipro;Shevchenka;63;Suite;4;69;315;2024-11-07;2024-11-09;pending;3;Good hotel;2024-11-07
Radisson;Radisson City Inn;City Inn description;info131@hotel.com;Ukraine;Dnipro;Shevchenka;59;Double;2;295;384;2024-05-31;2024-06-06;pending;2;Good hotel;2024-05-31
Hilton;Hilton Sea View;Sea View description;info132@hotel.com;Ukraine;Dnipro;Shevchenka;77;Double;4;182;209;2024-06-22;2024-06-29;pending;3;Good hotel;2024-06-22
Radisson;Radisson Grand Hotel;Grand Hotel description;info133@hotel.com;Ukraine;Dnipro;Shevchenka;95;Single;2;62;468;2024-03-14;2024-03-18;checked-out;4;Good hotel;2024-03-14
Marriott;Marriott Sea View;Sea View description;info134@hotel.com;Ukraine;Odesa;Shevchenka;16;Suite;1;115;416;2024-05-18;2024-05-25;checked-in;4;Good hotel;2024-05-18
Radisson;Radisson Grand Hotel;Grand Hotel description;info135@hotel.com;Ukraine;Odesa;Shevchenka;45;Suite;2;95;376;2024-02-21;2024-02-27;checked-out;1;Good hotel;2024-02-21
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info136@hotel.com;Ukraine;Kyiv;Shevchenka;62;Double;3;127;55;2024-12-14;2024-12-20;checked-out;2;Good hotel;2024-12-14
Marriott;Marriott City Inn;City Inn description;info137@hotel.com;Ukraine;Odesa;Shevchenka;71;Double;1;285;354;2024-07-17;2024-07-23;pending;3;Good hotel;2024-07-17
Radisson;Radisson City Inn;City Inn description;info138@hotel.com;Ukraine;Lviv;Shevchenka;85;Suite;3;93;275;2024-01-30;2024-02-05;checked-out;4;Good hotel;2024-01-30
Hilton;Hilton Mountain Resort;Mountain Resort description;info139@hotel.com;Ukraine;Kyiv;Shevchenka;80;Double;3;274;164;2024-12-25;2024-12-29;checked-in;5;Good hotel;2024-12-25
Radisson;Radisson Sea View;Sea View description;info140@hotel.com;Ukraine;Dnipro;Shevchenka;17;Single;3;129;59;2024-10-02;2024-10-08;confirmed;1;Good hotel;2024-10-02
Hilton;Hilton Grand Hotel;Grand Hotel description;info141@hotel.com;Ukraine;Kyiv;Shevchenka;30;Double;4;194;147;2024-08-02;2024-08-04;confirmed;1;Good hotel;2024-08-02
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info142@hotel.com;Ukraine;Lviv;Shevchenka;97;Single;2;152;210;2024-12-15;2024-12-19;confirmed;4;Good hotel;2024-12-15
Accor;Accor Sea View;Sea View description;info143@hotel.com;Ukraine;Kyiv;Shevchenka;15;Suite;4;230;79;2024-09-20;2024-09-26;checked-out;4;Good hotel;2024-09-20
