id;chain_name;hotel_name;description;email;country;city;street;number;room_type;capacity;price;room_number;checkin;checkout;status;rating;comment;review_date
20;Radisson;Radisson Mountain Resort;Mountain Resort description;info20@hotel.com;Ukraine;Lviv;Shevchenka;94;Suite;4;253;396;2024-11-01;2024-11-03;pending;5;Good hotel;2024-11-01
21;Marriott;Marriott Mountain Resort;Mountain Resort description;info21@hotel.com;Ukraine;Odesa;Shevchenka;9;Single;1;180;162;2024-02-05;2024-02-06;checked-out;5;Good hotel;2024-02-05
22;Hilton;Hilton Mountain Resort;Mountain Resort description;info22@hotel.com;Ukraine;Kyiv;Shevchenka;75;Suite;1;298;72;2024-02-22;2024-02-27;confirmed;4;Good hotel;2024-02-22
23;Hilton;Hilton Grand Hotel;Grand Hotel description;info23@hotel.com;Ukraine;Odesa;Shevchenka;5;Suite;4;233;224;2024-03-17;2024-03-18;checked-in;3;Good hotel;2024-03-17
24;Radisson;Radisson Mountain Resort;Mountain Resort description;info24@hotel.com;Ukraine;Odesa;Shevchenka;39;Double;3;167;342;2024-02-07;2024-02-11;checked-in;3;Good hotel;2024-02-07
25;Hilton;Hilton City Inn;City Inn description;info25@hotel.com;Ukraine;Lviv;Shevchenka;76;Double;2;248;50;2024-10-02;2024-10-06;checked-out;2;Good hotel;2024-10-02
26;Hilton;Hilton Mountain Resort;Mountain Resort description;info26@hotel.com;Ukraine;Lviv;Shevchenka;85;Suite;1;135;327;2024-11-07;2024-11-09;confirmed;4;Good hotel;2024-11-07
27;Accor;Accor Grand Hotel;Grand Hotel description;info27@hotel.com;Ukraine;Dnipro;Shevchenka;23;Double;3;195;443;2024-06-01;2024-06-07;pending;3;Good hotel;2024-06-01
28;Hilton;Hilton Sea View;Sea View description;info28@hotel.com;Ukraine;Kyiv;Shevchenka;95;Single;4;120;236;2024-10-18;2024-10-22;confirmed;4;Good hotel;2024-10-18
29;Accor;Accor Mountain Resort;Mountain Resort description;info29@hotel.com;Ukraine;Kyiv;Shevchenka;74;Single;4;254;199;2024-09-20;2024-09-22;checked-out;4;Good hotel;2024-09-20
30;Hilton;Hilton Sea View;Sea View description;info30@hotel.com;Ukraine;Odesa;Shevchenka;27;Single;4;269;460;2024-03-10;2024-03-15;checked-in;1;Good hotel;2024-03-10
31;Hilton;Hilton Grand Hotel;Grand Hotel description;info31@hotel.com;Ukraine;Lviv;Shevchenka;87;Single;1;140;228;2024-02-07;2024-02-13;checked-in;5;Good hotel;2024-02-07
32;Hilton;Hilton Mountain Resort;Mountain Resort description;info32@hotel.com;Ukraine;Lviv;Shevchenka;14;Single;4;260;195;2024-10-01;2024-10-03;pending;2;Good hotel;2024-10-01
33;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info33@hotel.com;Ukraine;Dnipro;Shevchenka;28;Suite;2;248;64;2024-06-29;2024-07-01;checked-out;3;Good hotel;2024-06-29
34;Hyatt;Hyatt City Inn;City Inn description;info34@hotel.com;Ukraine;Lviv;Shevchenka;8;Suite;3;286;283;2024-02-27;2024-02-28;pending;5;Good hotel;2024-02-27
35;Marriott;Marriott Grand Hotel;Grand Hotel description;info35@hotel.com;Ukraine;Lviv;Shevchenka;73;Single;3;154;449;2024-09-06;2024-09-07;checked-out;3;Good hotel;2024-09-06
36;Marriott;Marriott Mountain Resort;Mountain Resort description;info36@hotel.com;Ukraine;Kyiv;Shevchenka;62;Suite;3;140;114;2024-03-10;2024-03-13;confirmed;4;Good hotel;2024-03-10
37;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info37@hotel.com;Ukraine;Odesa;Shevchenka;30;Suite;2;284;237;2024-08-17;2024-08-20;checked-out;1;Good hotel;2024-08-17
38;Marriott;Marriott Sea View;Sea View description;info38@hotel.com;Ukraine;Lviv;Shevchenka;79;Double;4;241;424;2024-12-24;2024-12-25;checked-in;1;Good hotel;2024-12-24
39;Marriott;Marriott Sea View;Sea View description;info39@hotel.com;Ukraine;Lviv;Shevchenka;90;Double;2;232;236;2024-02-10;2024-02-11;pending;3;Good hotel;2024-02-10
40;Hyatt;Hyatt City Inn;City Inn description;info40@hotel.com;Ukraine;Kyiv;Shevchenka;30;Suite;1;64;218;2024-10-05;2024-10-10;checked-in;2;Good hotel;2024-10-05
41;Hyatt;Hyatt City Inn;City Inn description;info41@hotel.com;Ukraine;Dnipro;Shevchenka;96;Double;3;98;18;2024-09-13;2024-09-17;checked-in;4;Good hotel;2024-09-13
42;Hilton;Hilton Grand Hotel;Grand Hotel description;info42@hotel.com;Ukraine;Kyiv;Shevchenka;29;Suite;2;247;278;2024-08-26;2024-08-27;confirmed;3;Good hotel;2024-08-26
43;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info43@hotel.com;Ukraine;Kyiv;Shevchenka;44;Double;4;227;194;2024-04-11;2024-04-17;pending;2;Good hotel;2024-04-11
44;Hilton;Hilton City Inn;City Inn description;info44@hotel.com;Ukraine;Kyiv;Shevchenka;22;Suite;1;163;426;2024-08-28;2024-08-31;pending;5;Good hotel;2024-08-28
45;Radisson;Radisson Grand Hotel;Grand Hotel description;info45@hotel.com;Ukraine;Lviv;Shevchenka;72;Double;2;252;385;2024-01-10;2024-01-11;checked-in;1;Good hotel;2024-01-10
46;Hyatt;Hyatt Sea View;Sea View description;info46@hotel.com;Ukraine;Odesa;Shevchenka;24;Double;4;99;459;2024-06-07;2024-06-09;checked-out;2;Good hotel;2024-06-07
47;Hilton;Hilton City Inn;City Inn description;info47@hotel.com;Ukraine;Kyiv;Shevchenka;27;Single;3;167;69;2024-08-17;2024-08-18;confirmed;3;Good hotel;2024-08-17
48;Radisson;Radisson Sea View;Sea View description;info48@hotel.com;Ukraine;Dnipro;Shevchenka;98;Single;1;121;158;2024-04-26;2024-04-27;confirmed;2;Good hotel;2024-04-26
49;Hilton;Hilton Mountain Resort;Mountain Resort description;info49@hotel.com;Ukraine;Lviv;Shevchenka;43;Double;2;151;127;2024-01-31;2024-02-02;checked-out;4;Good hotel;2024-01-31
50;Hyatt;Hyatt Sea View;Sea View description;info50@hotel.com;Ukraine;Kyiv;Shevchenka;95;Double;4;258;403;2024-08-14;2024-08-20;pending;1;Good hotel;2024-08-14
51;Hilton;Hilton Mountain Resort;Mountain Resort description;info51@hotel.com;Ukraine;Kyiv;Shevchenka;27;Double;1;166;419;2024-10-09;2024-10-10;checked-in;1;Good hotel;2024-10-09
52;Hilton;Hilton Sea View;Sea View description;info52@hotel.com;Ukraine;Odesa;Shevchenka;58;Double;1;99;234;2024-03-18;2024-03-19;checked-in;5;Good hotel;2024-03-18
53;Accor;Accor Grand Hotel;Grand Hotel description;info53@hotel.com;Ukraine;Odesa;Shevchenka;12;Suite;3;57;144;2024-12-21;2024-12-25;confirmed;1;Good hotel;2024-12-21
54;Accor;Accor City Inn;City Inn description;info54@hotel.com;Ukraine;Odesa;Shevchenka;81;Single;4;171;232;2024-05-21;2024-05-27;checked-in;5;Good hotel;2024-05-21
55;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info55@hotel.com;Ukraine;Odesa;Shevchenka;53;Single;3;77;43;2024-03-01;2024-03-06;pending;3;Good hotel;2024-03-01
56;Radisson;Radisson Mountain Resort;Mountain Resort description;info56@hotel.com;Ukraine;Lviv;Shevchenka;80;Single;3;261;243;2024-01-28;2024-01-31;checked-in;1;Good hotel;2024-01-28
57;Hyatt;Hyatt Sea View;Sea View description;info57@hotel.com;Ukraine;Kyiv;Shevchenka;69;Suite;3;115;389;2024-10-05;2024-10-11;pending;3;Good hotel;2024-10-05
58;Radisson;Radisson City Inn;City Inn description;info58@hotel.com;Ukraine;Odesa;Shevchenka;36;Single;3;64;191;2024-02-23;2024-02-29;confirmed;3;Good hotel;2024-02-23
59;Hilton;Hilton Grand Hotel;Grand Hotel description;info59@hotel.com;Ukraine;Dnipro;Shevchenka;93;Double;1;234;90;2024-07-05;2024-07-06;pending;4;Good hotel;2024-07-05
60;Marriott;Marriott Grand Hotel;Grand Hotel description;info60@hotel.com;Ukraine;Odesa;Shevchenka;56;Single;4;218;275;2024-08-24;2024-08-25;confirmed;1;Good hotel;2024-08-24
61;Marriott;Marriott Mountain Resort;Mountain Resort description;info61@hotel.com;Ukraine;Dnipro;Shevchenka;58;Single;4;167;18;2024-11-11;2024-11-14;pending;2;Good hotel;2024-11-11
62;Hilton;Hilton Sea View;Sea View description;info62@hotel.com;Ukraine;Odesa;Shevchenka;21;Double;4;161;358;2024-06-02;2024-06-09;confirmed;5;Good hotel;2024-06-02
63;Accor;Accor Sea View;Sea View description;info63@hotel.com;Ukraine;Lviv;Shevchenka;79;Suite;1;205;476;2024-05-05;2024-05-07;checked-in;4;Good hotel;2024-05-05
64;Hilton;Hilton Sea View;Sea View description;info64@hotel.com;Ukraine;Dnipro;Shevchenka;58;Suite;3;148;376;2024-08-31;2024-09-01;confirmed;2;Good hotel;2024-08-31
65;Hilton;Hilton City Inn;City Inn description;info65@hotel.com;Ukraine;Lviv;Shevchenka;64;Single;3;181;67;2024-10-18;2024-10-23;checked-out;4;Good hotel;2024-10-18
66;Accor;Accor Grand Hotel;Grand Hotel description;info66@hotel.com;Ukraine;Dnipro;Shevchenka;77;Suite;4;120;99;2024-05-22;2024-05-24;checked-out;5;Good hotel;2024-05-22
67;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info67@hotel.com;Ukraine;Odesa;Shevchenka;92;Suite;3;92;224;2024-04-11;2024-04-16;checked-in;1;Good hotel;2024-04-11
68;Hyatt;Hyatt City Inn;City Inn description;info68@hotel.com;Ukraine;Lviv;Shevchenka;85;Single;3;92;198;2024-11-03;2024-11-10;confirmed;2;Good hotel;2024-11-03
69;Accor;Accor Grand Hotel;Grand Hotel description;info69@hotel.com;Ukraine;Dnipro;Shevchenka;47;Single;4;120;472;2024-09-04;2024-09-06;confirmed;5;Good hotel;2024-09-04
70;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info70@hotel.com;Ukraine;Lviv;Shevchenka;33;Double;4;136;32;2024-02-17;2024-02-22;checked-out;1;Good hotel;2024-02-17
71;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info71@hotel.com;Ukraine;Odesa;Shevchenka;67;Single;4;300;336;2024-01-16;2024-01-20;checked-out;1;Good hotel;2024-01-16
72;Accor;Accor Sea View;Sea View description;info72@hotel.com;Ukraine;Kyiv;Shevchenka;27;Suite;3;144;205;2024-07-11;2024-07-14;confirmed;1;Good hotel;2024-07-11
73;Radisson;Radisson Mountain Resort;Mountain Resort description;info73@hotel.com;Ukraine;Odesa;Shevchenka;52;Double;1;129;297;2024-05-04;2024-05-06;checked-out;5;Good hotel;2024-05-04
74;Marriott;Marriott Sea View;Sea View description;info74@hotel.com;Ukraine;Odesa;Shevchenka;97;Double;2;152;82;2024-02-19;2024-02-25;checked-in;1;Good hotel;2024-02-19
75;Hyatt;Hyatt Sea View;Sea View description;info75@hotel.com;Ukraine;Odesa;Shevchenka;63;Double;3;255;438;2024-01-05;2024-01-09;checked-in;5;Good hotel;2024-01-05
76;Hilton;Hilton Mountain Resort;Mountain Resort description;info76@hotel.com;Ukraine;Lviv;Shevchenka;70;Single;2;193;317;2024-09-30;2024-10-01;checked-out;1;Good hotel;2024-09-30
77;Radisson;Radisson Grand Hotel;Grand Hotel description;info77@hotel.com;Ukraine;Kyiv;Shevchenka;61;Single;4;154;129;2024-06-25;2024-07-01;confirmed;3;Good hotel;2024-06-25
78;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info78@hotel.com;Ukraine;Kyiv;Shevchenka;84;Double;3;55;449;2024-02-23;2024-03-01;confirmed;4;Good hotel;2024-02-23
79;Marriott;Marriott Mountain Resort;Mountain Resort description;info79@hotel.com;Ukraine;Odesa;Shevchenka;81;Double;2;277;347;2024-05-01;2024-05-08;checked-out;4;Good hotel;2024-05-01
80;Accor;Accor Grand Hotel;Grand Hotel description;info80@hotel.com;Ukraine;Dnipro;Shevchenka;40;Double;1;110;475;2024-01-20;2024-01-22;checked-out;1;Good hotel;2024-01-20
81;Accor;Accor City Inn;City Inn description;info81@hotel.com;Ukraine;Kyiv;Shevchenka;68;Suite;1;270;469;2024-09-04;2024-09-05;checked-in;2;Good hotel;2024-09-04
82;Hyatt;Hyatt City Inn;City Inn description;info82@hotel.com;Ukraine;Kyiv;Shevchenka;23;Double;2;145;373;2024-02-27;2024-03-01;checked-out;5;Good hotel;2024-02-27
83;Accor;Accor Sea View;Sea View description;info83@hotel.com;Ukraine;Dnipro;Shevchenka;17;Suite;4;123;216;2024-01-23;2024-01-25;checked-in;3;Good hotel;2024-01-23
84;Accor;Accor City Inn;City Inn description;info84@hotel.com;Ukraine;Kyiv;Shevchenka;56;Single;1;177;274;2024-12-30;2025-01-05;checked-out;1;Good hotel;2024-12-30
85;Radisson;Radisson Mountain Resort;Mountain Resort description;info85@hotel.com;Ukraine;Dnipro;Shevchenka;33;Double;2;187;160;2024-01-23;2024-01-26;pending;3;Good hotel;2024-01-23
86;Hilton;Hilton City Inn;City Inn description;info86@hotel.com;Ukraine;Lviv;Shevchenka;79;Double;1;131;495;2024-02-23;2024-02-29;pending;2;Good hotel;2024-02-23
87;Radisson;Radisson City Inn;City Inn description;info87@hotel.com;Ukraine;Lviv;Shevchenka;34;Double;3;259;147;2024-06-02;2024-06-05;pending;5;Good hotel;2024-06-02
88;Hyatt;Hyatt City Inn;City Inn description;info88@hotel.com;Ukraine;Lviv;Shevchenka;51;Single;1;102;23;2024-12-07;2024-12-14;pending;3;Good hotel;2024-12-07
89;Hilton;Hilton City Inn;City Inn description;info89@hotel.com;Ukraine;Lviv;Shevchenka;56;Suite;1;111;33;2024-04-03;2024-04-07;checked-in;1;Good hotel;2024-04-03
90;Hilton;Hilton City Inn;City Inn description;info90@hotel.com;Ukraine;Dnipro;Shevchenka;1;Suite;4;263;328;2024-10-22;2024-10-27;pending;3;Good hotel;2024-10-22
91;Marriott;Marriott Mountain Resort;Mountain Resort description;info91@hotel.com;Ukraine;Kyiv;Shevchenka;73;Single;2;166;143;2024-03-05;2024-03-12;pending;2;Good hotel;2024-03-05
92;Marriott;Marriott Sea View;Sea View description;info92@hotel.com;Ukraine;Dnipro;Shevchenka;5;Single;1;133;478;2024-11-15;2024-11-17;checked-in;1;Good hotel;2024-11-15
93;Hilton;Hilton City Inn;City Inn description;info93@hotel.com;Ukraine;Kyiv;Shevchenka;19;Suite;4;213;478;2024-12-31;2025-01-01;confirmed;2;Good hotel;2024-12-31
94;Marriott;Marriott City Inn;City Inn description;info94@hotel.com;Ukraine;Kyiv;Shevchenka;33;Double;3;106;356;2024-01-28;2024-02-04;confirmed;3;Good hotel;2024-01-28
95;Accor;Accor Sea View;Sea View description;info95@hotel.com;Ukraine;Dnipro;Shevchenka;79;Suite;4;227;90;2024-11-15;2024-11-16;checked-in;2;Good hotel;2024-11-15
96;Marriott;Marriott Grand Hotel;Grand Hotel description;info96@hotel.com;Ukraine;Dnipro;Shevchenka;41;Single;4;211;193;2024-08-14;2024-08-18;confirmed;4;Good hotel;2024-08-14
97;Marriott;Marriott City Inn;City Inn description;info97@hotel.com;Ukraine;Odesa;Shevchenka;54;Suite;3;146;264;2024-11-10;2024-11-13;checked-in;5;Good hotel;2024-11-10
98;Hilton;Hilton Sea View;Sea View description;info98@hotel.com;Ukraine;Dnipro;Shevchenka;48;Single;2;192;252;2024-06-02;2024-06-05;pending;4;Good hotel;2024-06-02
99;Hilton;Hilton City Inn;City Inn description;info99@hotel.com;Ukraine;Kyiv;Shevchenka;73;Double;2;292;58;2024-04-09;2024-04-11;checked-in;2;Good hotel;2024-04-09
100;Marriott;Marriott Sea View;Sea View description;info100@hotel.com;Ukraine;Dnipro;Shevchenka;56;Single;4;169;331;2024-02-21;2024-02-24;checked-out;5;Good hotel;2024-02-21
101;Hyatt;Hyatt Sea View;Sea View description;info101@hotel.com;Ukraine;Odesa;Shevchenka;21;Single;3;299;202;2024-09-07;2024-09-08;confirmed;5;Good hotel;2024-09-07
102;Radisson;Radisson City Inn;City Inn description;info102@hotel.com;Ukraine;Lviv;Shevchenka;69;Single;2;280;298;2024-12-24;2024-12-26;checked-out;5;Good hotel;2024-12-24
103;Marriott;Marriott City Inn;City Inn description;info103@hotel.com;Ukraine;Lviv;Shevchenka;47;Single;4;209;108;2024-02-23;2024-02-24;pending;2;Good hotel;2024-02-23
104;Radisson;Radisson Mountain Resort;Mountain Resort description;info104@hotel.com;Ukraine;Lviv;Shevchenka;97;Double;2;68;14;2024-01-13;2024-01-18;pending;5;Good hotel;2024-01-13
105;Hilton;Hilton City Inn;City Inn description;info105@hotel.com;Ukraine;Odesa;Shevchenka;94;Double;2;201;436;2024-10-20;2024-10-22;pending;3;Good hotel;2024-10-20
106;Radisson;Radisson City Inn;City Inn description;info106@hotel.com;Ukraine;Odesa;Shevchenka;84;Single;4;205;201;2024-03-26;2024-03-29;pending;2;Good hotel;2024-03-26
107;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info107@hotel.com;Ukraine;Odesa;Shevchenka;8;Double;1;155;70;2024-03-31;2024-04-07;confirmed;4;Good hotel;2024-03-31
108;Accor;Accor Mountain Resort;Mountain Resort description;info108@hotel.com;Ukraine;Odesa;Shevchenka;30;Double;3;252;14;2024-06-21;2024-06-25;pending;5;Good hotel;2024-06-21
109;Accor;Accor Mountain Resort;Mountain Resort description;info109@hotel.com;Ukraine;Dnipro;Shevchenka;85;Suite;4;244;281;2024-11-05;2024-11-08;confirmed;1;Good hotel;2024-11-05
110;Radisson;Radisson Mountain Resort;Mountain Resort description;info110@hotel.com;Ukraine;Dnipro;Shevchenka;70;Suite;1;203;437;2024-03-19;2024-03-21;confirmed;2;Good hotel;2024-03-19
111;Hyatt;Hyatt Sea View;Sea View description;info111@hotel.com;Ukraine;Lviv;Shevchenka;25;Suite;3;285;54;2024-09-10;2024-09-12;checked-in;5;Good hotel;2024-09-10
112;Accor;Accor Sea View;Sea View description;info112@hotel.com;Ukraine;Dnipro;Shevchenka;85;Single;4;92;459;2024-10-17;2024-10-24;confirmed;4;Good hotel;2024-10-17
113;Hyatt;Hyatt City Inn;City Inn description;info113@hotel.com;Ukraine;Dnipro;Shevchenka;47;Suite;2;55;242;2024-11-06;2024-11-07;confirmed;5;Good hotel;2024-11-06
114;Hilton;Hilton Sea View;Sea View description;info114@hotel.com;Ukraine;Kyiv;Shevchenka;26;Double;4;218;259;2024-11-20;2024-11-26;checked-in;1;Good hotel;2024-11-20
115;Radisson;Radisson Mountain Resort;Mountain Resort description;info115@hotel.com;Ukraine;Kyiv;Shevchenka;19;Double;1;136;464;2024-06-22;2024-06-23;checked-out;5;Good hotel;2024-06-22
116;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info116@hotel.com;Ukraine;Dnipro;Shevchenka;72;Double;4;103;113;2024-04-02;2024-04-04;checked-in;1;Good hotel;2024-04-02
117;Hilton;Hilton City Inn;City Inn description;info117@hotel.com;Ukraine;Odesa;Shevchenka;66;Single;2;255;241;2024-06-01;2024-06-08;checked-out;3;Good hotel;2024-06-01
118;Accor;Accor City Inn;City Inn description;info118@hotel.com;Ukraine;Lviv;Shevchenka;27;Single;1;281;170;2024-01-03;2024-01-05;confirmed;3;Good hotel;2024-01-03
119;Marriott;Marriott Mountain Resort;Mountain Resort description;info119@hotel.com;Ukraine;Odesa;Shevchenka;24;Double;1;196;150;2024-12-28;2025-01-02;checked-in;5;Good hotel;2024-12-28
120;Hyatt;Hyatt City Inn;City Inn description;info120@hotel.com;Ukraine;Dnipro;Shevchenka;76;Single;3;65;458;2024-04-09;2024-04-12;checked-out;4;Good hotel;2024-04-09
121;Radisson;Radisson Mountain Resort;Mountain Resort description;info121@hotel.com;Ukraine;Lviv;Shevchenka;76;Suite;4;223;31;2024-09-02;2024-09-06;confirmed;5;Good hotel;2024-09-02
122;Marriott;Marriott City Inn;City Inn description;info122@hotel.com;Ukraine;Kyiv;Shevchenka;87;Single;4;78;26;2024-11-07;2024-11-08;checked-out;2;Good hotel;2024-11-07
123;Hilton;Hilton Mountain Resort;Mountain Resort description;info123@hotel.com;Ukraine;Lviv;Shevchenka;81;Suite;4;280;336;2024-12-06;2024-12-09;checked-in;5;Good hotel;2024-12-06
124;Marriott;Marriott Mountain Resort;Mountain Resort description;info124@hotel.com;Ukraine;Odesa;Shevchenka;34;Suite;4;168;9;2024-04-21;2024-04-28;checked-in;4;Good hotel;2024-04-21
125;Hilton;Hilton Grand Hotel;Grand Hotel description;info125@hotel.com;Ukraine;Odesa;Shevchenka;38;Double;4;124;404;2024-01-31;2024-02-02;checked-out;4;Good hotel;2024-01-31
126;Marriott;Marriott Mountain Resort;Mountain Resort description;info126@hotel.com;Ukraine;Dnipro;Shevchenka;60;Suite;2;70;263;2024-03-06;2024-03-11;pending;5;Good hotel;2024-03-06
127;Hilton;Hilton Sea View;Sea View description;info127@hotel.com;Ukraine;Kyiv;Shevchenka;25;Single;4;120;288;2024-02-13;2024-02-14;checked-in;3;Good hotel;2024-02-13
128;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info128@hotel.com;Ukraine;Lviv;Shevchenka;53;Suite;3;187;169;2024-04-22;2024-04-26;confirmed;4;Good hotel;2024-04-22
129;Hyatt;Hyatt Sea View;Sea View description;info129@hotel.com;Ukraine;Odesa;Shevchenka;41;Double;1;117;350;2024-02-01;2024-02-02;checked-in;1;Good hotel;2024-02-01
130;Marriott;Marriott Mountain Resort;Mountain Resort description;info130@hotel.com;Ukraine;Odesa;Shevchenka;57;Single;1;282;111;2024-09-03;2024-09-09;checked-in;3;Good hotel;2024-09-03
131;Hilton;Hilton City Inn;City Inn description;info131@hotel.com;Ukraine;Dnipro;Shevchenka;1;Suite;4;199;2;2024-06-01;2024-06-04;pending;1;Good hotel;2024-06-01
132;Accor;Accor Grand Hotel;Grand Hotel description;info132@hotel.com;Ukraine;Lviv;Shevchenka;5;Single;1;165;90;2024-11-20;2024-11-22;confirmed;3;Good hotel;2024-11-20
133;Radisson;Radisson Sea View;Sea View description;info133@hotel.com;Ukraine;Kyiv;Shevchenka;75;Double;3;258;115;2024-10-22;2024-10-24;checked-in;3;Good hotel;2024-10-22
134;Radisson;Radisson Mountain Resort;Mountain Resort description;info134@hotel.com;Ukraine;Dnipro;Shevchenka;47;Suite;3;244;316;2024-04-10;2024-04-12;confirmed;4;Good hotel;2024-04-10
135;Radisson;Radisson Mountain Resort;Mountain Resort description;info135@hotel.com;Ukraine;Odesa;Shevchenka;47;Double;1;167;365;2024-07-18;2024-07-20;confirmed;2;Good hotel;2024-07-18
136;Hilton;Hilton Mountain Resort;Mountain Resort description;info136@hotel.com;Ukraine;Dnipro;Shevchenka;80;Double;2;197;276;2024-03-18;2024-03-24;confirmed;3;Good hotel;2024-03-18
137;Radisson;Radisson Sea View;Sea View description;info137@hotel.com;Ukraine;Odesa;Shevchenka;69;Double;4;175;479;2024-11-05;2024-11-10;checked-in;2;Good hotel;2024-11-05
138;Hilton;Hilton Mountain Resort;Mountain Resort description;info138@hotel.com;Ukraine;Dnipro;Shevchenka;20;Double;2;134;442;2024-12-20;2024-12-27;checked-in;1;Good hotel;2024-12-20
139;Marriott;Marriott Mountain Resort;Mountain Resort description;info139@hotel.com;Ukraine;Lviv;Shevchenka;11;Double;4;285;302;2024-11-09;2024-11-15;checked-out;3;Good hotel;2024-11-09
140;Hilton;Hilton City Inn;City Inn description;info140@hotel.com;Ukraine;Lviv;Shevchenka;61;Single;1;209;66;2024-12-15;2024-12-22;checked-in;1;Good hotel;2024-12-15
141;Accor;Accor Grand Hotel;Grand Hotel description;info141@hotel.com;Ukraine;Dnipro;Shevchenka;20;Double;4;191;197;2024-03-19;2024-03-22;confirmed;2;Good hotel;2024-03-19
